iter	Passed	Remaining
0	6	681
1	8	425
2	10	349
3	12	308
4	14	282
5	18	293
6	20	278
7	22	260
8	24	244
9	25	231
10	27	225
11	29	216
12	31	210
13	34	211
14	35	203
15	37	196
16	44	218
17	46	213
18	48	208
19	50	203
20	57	218
21	60	213
22	62	208
23	64	204
24	66	200
25	71	204
26	73	197
27	74	191
28	75	185
29	76	179
30	77	173
31	79	168
32	80	164
33	81	159
34	83	155
35	85	151
36	86	146
37	87	142
38	88	138
39	89	134
40	91	131
41	92	127
42	93	124
43	95	122
44	97	119
45	98	116
46	100	112
47	101	109
48	102	106
49	103	103
50	105	101
51	106	98
52	108	95
53	108	92
54	110	90
55	113	88
56	114	86
57	116	84
58	117	81
59	119	79
60	120	77
61	122	74
62	123	72
63	125	70
64	126	68
65	128	66
66	129	63
67	131	61
68	133	59
69	135	57
70	136	55
71	141	55
72	142	52
73	144	50
74	145	48
75	147	46
76	149	44
77	151	42
78	153	40
79	155	38
80	156	36
81	157	34
82	159	32
83	160	30
84	161	28
85	163	26
86	164	24
87	166	22
88	169	20
89	171	19
90	172	17
91	173	15
92	175	13
93	176	11
94	177	9
95	178	7
96	179	5
97	182	3
98	184	1
99	186	0
