iter	Passed	Remaining
0	133	133026
1	135	67587
2	137	45629
3	140	34878
4	141	28122
5	142	23657
6	143	20424
7	145	18017
8	146	16132
9	147	14639
10	149	13432
11	150	12419
12	151	11538
13	153	10789
14	154	10132
15	155	9556
16	156	9054
17	157	8606
18	159	8247
19	160	7887
20	162	7561
21	163	7260
22	164	6994
23	165	6743
24	166	6512
25	168	6301
26	169	6103
27	170	5918
28	171	5744
29	173	5608
30	174	5465
31	175	5323
32	177	5192
33	178	5070
34	179	4953
35	180	4841
36	181	4733
37	182	4630
38	184	4535
39	185	4443
40	186	4372
41	188	4291
42	189	4212
43	190	4143
44	192	4085
45	193	4019
46	195	3954
47	196	3891
48	197	3838
49	199	3796
50	201	3746
51	203	3701
52	204	3651
53	205	3603
54	207	3559
55	208	3514
56	210	3488
57	214	3478
58	216	3458
59	218	3422
60	219	3384
61	224	3401
62	226	3362
63	227	3324
64	229	3296
65	230	3268
66	232	3232
67	234	3219
68	236	3191
69	237	3157
70	238	3124
71	240	3097
72	243	3088
73	244	3062
74	246	3038
75	247	3009
76	249	2987
77	250	2966
78	252	2949
79	254	2926
80	257	2927
81	261	2927
82	262	2899
83	263	2877
84	265	2854
85	266	2831
86	267	2808
87	269	2788
88	272	2791
89	274	2779
90	277	2768
91	278	2748
92	279	2728
93	281	2709
94	282	2690
95	286	2696
96	288	2683
97	290	2669
98	292	2664
99	296	2670
100	298	2656
101	305	2690
102	307	2675
103	308	2659
104	309	2642
105	312	2634
106	313	2619
107	315	2609
108	317	2598
109	320	2592
110	322	2579
111	323	2563
112	324	2549
113	326	2533
114	327	2518
115	330	2516
116	331	2499
117	332	2485
118	334	2472
119	335	2459
120	336	2447
121	337	2432
122	339	2419
123	340	2407
124	343	2407
125	345	2395
126	346	2380
127	347	2367
128	348	2355
129	349	2341
130	351	2328
131	352	2316
132	353	2303
133	354	2290
134	355	2278
135	357	2270
136	358	2258
137	359	2247
138	361	2239
139	362	2227
140	363	2215
141	364	2201
142	365	2190
143	366	2179
144	367	2168
145	368	2157
146	370	2148
147	371	2139
148	372	2130
149	374	2120
150	375	2111
151	377	2106
152	378	2097
153	379	2086
154	380	2076
155	382	2067
156	383	2057
157	385	2052
158	386	2044
159	387	2034
160	388	2023
161	389	2014
162	390	2004
163	391	1995
164	392	1986
165	393	1977
166	394	1968
167	395	1959
168	396	1950
169	398	1943
170	399	1936
171	400	1928
172	401	1920
173	403	1914
174	405	1913
175	407	1905
176	408	1897
177	409	1889
178	410	1881
179	411	1873
180	412	1867
181	413	1860
182	415	1853
183	416	1847
184	417	1840
185	419	1835
186	420	1829
187	421	1822
188	423	1815
189	424	1808
190	426	1805
191	427	1801
192	429	1794
193	430	1786
194	431	1779
195	432	1772
196	433	1766
197	434	1759
198	435	1753
199	436	1746
200	437	1740
201	438	1733
202	440	1728
203	441	1723
204	442	1717
205	443	1710
206	444	1704
207	446	1698
208	447	1692
209	448	1687
210	449	1681
211	450	1676
212	452	1671
213	453	1666
214	455	1664
215	457	1659
216	458	1654
217	459	1648
218	460	1643
219	462	1639
220	464	1635
221	465	1630
222	466	1625
223	468	1624
224	470	1620
225	471	1615
226	472	1610
227	474	1605
228	475	1601
229	476	1596
230	478	1591
231	479	1586
232	480	1581
233	481	1577
234	483	1575
235	485	1570
236	486	1566
237	487	1560
238	488	1555
239	489	1551
240	490	1546
241	492	1541
242	493	1536
243	494	1531
244	495	1526
245	496	1522
246	498	1518
247	499	1514
248	500	1509
249	502	1506
250	503	1502
251	504	1498
252	505	1493
253	506	1488
254	507	1483
255	509	1479
256	511	1477
257	513	1475
258	514	1471
259	515	1466
260	516	1462
261	517	1457
262	518	1453
263	519	1448
264	520	1444
265	522	1440
266	523	1436
267	525	1434
268	527	1432
269	529	1431
270	530	1426
271	531	1422
272	532	1418
273	533	1414
274	534	1410
275	536	1406
276	537	1402
277	540	1404
278	542	1401
279	543	1398
280	545	1395
281	549	1399
282	551	1397
283	556	1402
284	557	1399
285	561	1400
286	563	1398
287	564	1396
288	566	1393
289	570	1397
290	572	1394
291	573	1391
292	575	1388
293	577	1386
294	579	1383
295	580	1379
296	581	1375
297	584	1376
298	585	1373
299	586	1369
300	587	1365
301	590	1364
302	592	1362
303	593	1358
304	594	1354
305	595	1350
306	599	1352
307	600	1349
308	601	1346
309	604	1344
310	606	1342
311	608	1341
312	609	1337
313	610	1333
314	611	1329
315	612	1325
316	615	1327
317	617	1323
318	618	1320
319	620	1318
320	623	1318
321	624	1315
322	626	1313
323	631	1316
324	632	1314
325	634	1311
326	636	1309
327	638	1307
328	639	1303
329	640	1299
330	641	1296
331	643	1295
332	645	1292
333	646	1289
334	647	1285
335	649	1284
336	651	1282
337	652	1278
338	653	1274
339	654	1271
340	657	1271
341	659	1268
342	660	1264
343	663	1265
344	665	1262
345	666	1259
346	667	1256
347	669	1253
348	670	1250
349	673	1249
350	675	1248
351	676	1246
352	679	1244
353	680	1241
354	681	1238
355	683	1235
356	684	1232
357	685	1229
358	687	1227
359	688	1224
360	689	1220
361	691	1217
362	692	1214
363	693	1211
364	694	1208
365	695	1204
366	696	1201
367	697	1198
368	699	1196
369	701	1194
370	703	1192
371	704	1189
372	705	1186
373	706	1182
374	707	1179
375	708	1176
376	709	1173
377	711	1170
378	712	1167
379	714	1165
380	715	1163
381	717	1160
382	718	1157
383	720	1155
384	722	1153
385	723	1150
386	724	1147
387	725	1144
388	726	1141
389	730	1142
390	731	1139
391	732	1136
392	734	1134
393	736	1132
394	737	1129
395	738	1126
396	739	1123
397	741	1120
398	743	1120
399	745	1117
400	746	1115
401	747	1112
402	752	1114
403	753	1112
404	755	1109
405	756	1106
406	759	1106
407	760	1103
408	761	1100
409	762	1097
410	764	1095
411	766	1094
412	767	1091
413	768	1088
414	769	1085
415	770	1082
416	774	1082
417	775	1079
418	776	1076
419	778	1074
420	780	1072
421	781	1070
422	782	1067
423	783	1064
424	785	1062
425	788	1062
426	789	1059
427	791	1057
428	792	1055
429	793	1052
430	794	1049
431	796	1046
432	797	1043
433	798	1041
434	799	1038
435	801	1036
436	802	1034
437	804	1031
438	805	1029
439	807	1027
440	808	1024
441	809	1022
442	814	1023
443	815	1021
444	817	1020
445	821	1020
446	822	1018
447	824	1015
448	828	1016
449	829	1014
450	830	1011
451	832	1008
452	834	1007
453	835	1005
454	837	1002
455	838	999
456	839	997
457	841	996
458	843	993
459	844	991
460	846	989
461	848	988
462	850	986
463	851	983
464	852	981
465	853	978
466	857	978
467	858	976
468	859	973
469	861	971
470	863	969
471	864	967
472	866	964
473	867	962
474	870	962
475	872	960
476	873	958
477	875	956
478	924	1006
479	954	1033
480	956	1031
481	957	1029
482	960	1028
483	962	1026
484	964	1023
485	968	1024
486	970	1022
487	974	1022
488	976	1020
489	979	1019
490	983	1019
491	985	1017
492	987	1015
493	988	1012
494	990	1010
495	995	1011
496	998	1010
497	1001	1009
498	1002	1006
499	1003	1003
500	1005	1001
501	1010	1002
502	1011	999
503	1014	998
504	1015	995
505	1017	993
506	1018	990
507	1020	988
508	1024	988
509	1028	987
510	1029	985
511	1030	982
512	1032	980
513	1033	977
514	1049	988
515	1051	986
516	1053	984
517	1055	982
518	1057	979
519	1066	984
520	1070	984
521	1072	981
522	1073	978
523	1074	976
524	1076	973
525	1077	971
526	1079	968
527	1081	966
